"iso2","discount_rate"
"AD",0.075
"AE",0.075
"AF",0.1
"AG",0.075
"AI",0.1
"AL",0.075
"AM",0.075
"AO",0.1
"AQ",0.1
"AR",0.075
"AS",0.1
"AT",0.05
"AU",0.05
"AW",0.075
"AX",0.1
"AZ",0.075
"BA",0.075
"BB",0.075
"BD",0.1
"BE",0.05
"BF",0.1
"BG",0.075
"BH",0.075
"BI",0.1
"BJ",0.1
"BL",0.1
"BM",0.075
"BN",0.075
"BO",0.1
"BQ",0.1
"BR",0.075
"BS",0.075
"BT",0.1
"BV",0.1
"BW",0.075
"BY",0.075
"BZ",0.075
"CA",0.05
"CC",0.1
"CD",0.1
"CF",0.1
"CG",0.1
"CH",0.05
"CI",0.1
"CK",0.1
"CL",0.05
"CM",0.1
"CN",0.075
"CO",0.075
"CR",0.075
"CU",0.075
"CV",0.1
"CW",0.075
"CX",0.1
"CY",0.075
"CZ",0.05
"DE",0.05
"DJ",0.1
"DK",0.05
"DM",0.1
"DO",0.075
"DZ",0.075
"EC",0.075
"EE",0.05
"EG",0.1
"EH",0.1
"ER",0.1
"ES",0.05
"ET",0.1
"FI",0.05
"FJ",0.075
"FK",0.1
"FM",0.1
"FO",0.1
"FR",0.05
"GA",0.075
"GB",0.05
"GD",0.1
"GE",0.075
"GF",0.1
"GG",0.1
"GH",0.1
"GI",0.075
"GL",0.075
"GM",0.1
"GN",0.1
"GP",0.1
"GQ",0.1
"GR",0.05
"GS",0.1
"GT",0.075
"GU",0.1
"GW",0.1
"GY",0.075
"HK",0.075
"HM",0.1
"HN",0.1
"HR",0.075
"HT",0.1
"HU",0.05
"ID",0.075
"IE",0.05
"IL",0.05
"IM",0.075
"IN",0.1
"IO",0.1
"IQ",0.075
"IR",0.075
"IS",0.05
"IT",0.05
"JE",0.1
"JM",0.075
"JO",0.1
"JP",0.05
"KE",0.1
"KG",0.1
"KH",0.1
"KI",0.1
"KM",0.1
"KN",0.1
"KP",0.1
"KR",0.05
"KW",0.075
"KY",0.075
"KZ",0.075
"LA",0.1
"LB",0.1
"LC",0.075
"LI",0.075
"LK",0.1
"LR",0.1
"LS",0.1
"LT",0.05
"LU",0.05
"LV",0.05
"LY",0.075
"MA",0.1
"MC",0.075
"MD",0.075
"ME",0.075
"MF",0.1
"MG",0.1
"MH",0.1
"MK",0.075
"ML",0.1
"MM",0.1
"MN",0.075
"MO",0.075
"MP",0.1
"MQ",0.1
"MR",0.1
"MS",0.1
"MT",0.075
"MU",0.075
"MV",0.075
"MW",0.1
"MX",0.075
"MY",0.075
"MZ",0.1
"NA",0.075
"NC",0.1
"NE",0.1
"NF",0.1
"NG",0.1
"NI",0.1
"NL",0.05
"NO",0.05
"NP",0.1
"NR",0.1
"NU",0.1
"NZ",0.05
"OM",0.075
"PA",0.075
"PE",0.075
"PF",0.1
"PG",0.1
"PH",0.1
"PK",0.1
"PL",0.05
"PM",0.1
"PN",0.1
"PR",0.1
"PS",0.1
"PT",0.05
"PW",0.1
"PY",0.075
"QA",0.075
"RE",0.1
"RO",0.075
"RS",0.075
"RU",0.075
"RW",0.1
"SA",0.075
"SB",0.1
"SC",0.1
"SD",0.1
"SE",0.05
"SG",0.075
"SH",0.1
"SI",0.05
"SJ",0.1
"SK",0.05
"SL",0.1
"SM",0.1
"SN",0.1
"SO",0.1
"SR",0.075
"SS",0.1
"ST",0.1
"SV",0.075
"SX",0.1
"SY",0.1
"SZ",0.1
"TC",0.075
"TD",0.1
"TF",0.1
"TG",0.1
"TH",0.075
"TJ",0.1
"TK",0.1
"TL",0.1
"TM",0.1
"TN",0.1
"TO",0.1
"TR",0.075
"TT",0.075
"TV",0.1
"TW",0.075
"TZ",0.1
"UA",0.075
"UG",0.1
"UM",0.1
"US",0.05
"UY",0.075
"UZ",0.1
"VA",0.1
"VC",0.1
"VE",0.075
"VG",0.075
"VI",0.1
"VN",0.1
"VU",0.1
"WF",0.1
"WS",0.1
"YE",0.1
"YT",0.1
"ZA",0.075
"ZM",0.1
"ZW",0.1
NA,0.075
