scenario,scenario_type,scenario_geography,technology,mean,median,min,max,percentile_2.5,percentile_5,percentile_95,percentile_97.5
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,USA,SolarCap - PV,1.4966019360937384,1.5112324996639668,1.356062047418806,1.6758767526327065,1.3575217065232639,1.3589201899897896,1.6491087887507174,1.6624345413193804
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,USA,SolarCap - PV,1.8560332300959013,1.8621578544171022,1.0989839267478811,2.7534948013029257,1.1081110620659165,1.1196211380991632,2.6678346145645384,2.7102777374045424
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,RUS,SolarCap - PV,1.7001895103819133,1.6287194337248574,1.426144518524389,2.1249005159794305,1.4399269844775262,1.451221274308811,2.073566757787335,2.099071605462684
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,RUS,SolarCap - PV,1.6395867104173867,1.4560368922020086,1.1960594753941762,2.429997692437885,1.2066622847078388,1.2166896834764795,2.328997053359015,2.3788659987815386
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10ROWO,SolarCap - PV,1.9440614670085852,1.9108111694926642,1.853646984719288,2.269025468047539,1.8579247991254408,1.8622539201285466,2.1756191243710346,2.221764822119442
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10ROWO,SolarCap - PV,2.038068819713314,2.0021482596818623,1.6827945119108911,2.479404708893695,1.6950587631761873,1.7069488553806726,2.431722505055625,2.455432044032708
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REST_ASIA,SolarCap - PV,1.4136950620449538,1.3931831852513175,1.344946295837793,1.6024228580041862,1.3500092362640244,1.3551724069791375,1.553256958144021,1.577581853626419
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REST_ASIA,SolarCap - PV,1.5343182834549083,1.4527813040360038,1.166272582087696,1.901844612934762,1.167428539452456,1.1738513324788096,1.891183055869995,1.8965053626304973
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REF_ECON,SolarCap - PV,1.7001895103819133,1.6287194337248574,1.426144518524389,2.1249005159794305,1.4399269844775262,1.451221274308811,2.073566757787335,2.099071605462684
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REF_ECON,SolarCap - PV,1.6079518011514577,1.4221742250967648,1.1729307153862112,2.429997692437885,1.1775028523932691,1.182181306156696,2.328997053359015,2.3788659987815386
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10PAC_OECD,SolarCap - PV,1.8878265426876941,1.869405795243032,1.8269368251548328,2.1106505090513545,1.8325216262383919,1.8376849492845424,1.9699366043086624,2.0254607443464607
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10PAC_OECD,SolarCap - PV,1.5721944369250869,1.5798379819603432,1.388877297882818,1.7176406569040108,1.4018647314332227,1.4164919632986792,1.7128968998036596,1.715777223320656
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10NORTH_AM,SolarCap - PV,1.4966019360937384,1.5112324996639668,1.356062047418806,1.6758767526327065,1.3575217065232639,1.3589201899897896,1.6491087887507174,1.6624345413193804
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10NORTH_AM,SolarCap - PV,1.8560332300959013,1.8621578544171022,1.0989839267478811,2.7534948013029257,1.1081110620659165,1.1196211380991632,2.6678346145645384,2.7102777374045424
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10MIDDLE_EAST,SolarCap - PV,1.5692695600652966,1.5957539929598703,1.4081436496311113,1.6485807162610664,1.4178614522378046,1.4276458630661955,1.64812529385852,1.6483507076296189
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10MIDDLE_EAST,SolarCap - PV,1.4877572701127464,1.5161757583735307,0.8921533750875337,2.0165446382282908,0.9075301094662065,0.9228743830852986,2.004535620832126,2.010522438364924
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10LATIN_AM,SolarCap - PV,1.3250906014684114,1.3356860546241014,1.26832899119961,1.3678852056374604,1.2696182129881066,1.2708641215347438,1.366768186151061,1.3673610579291409
